t v
2.130633896e+02 3.227874641e+00
2.140633896e+02 3.448660143e+00
2.150633896e+02 3.642124437e+00
2.160633896e+02 3.808515282e+00
2.170633896e+02 3.949813227e+00
2.180633896e+02 4.068729632e+00
2.190633896e+02 4.168138914e+00
2.200633896e+02 4.251236424e+00
2.209177359e+02 4.311694335e+00
2.215849759e+02 4.353652643e+00
2.222115408e+02 4.390083346e+00
2.229063956e+02 4.428239899e+00
2.236509551e+02 4.467528910e+00
2.244389662e+02 4.508244944e+00
2.251954929e+02 4.547141795e+00
2.261378333e+02 4.595963452e+00
2.271378333e+02 4.648663414e+00
2.281378333e+02 4.702580698e+00
2.291378333e+02 4.757457650e+00
2.301378333e+02 4.812369117e+00
2.311378333e+02 4.866518426e+00
2.321378333e+02 4.918623804e+00
2.331378333e+02 4.965672026e+00
2.341378333e+02 5.003570027e+00
2.351378333e+02 5.027363354e+00
2.361378333e+02 5.031624091e+00
2.371378333e+02 5.011668670e+00
2.381378333e+02 4.963770828e+00
2.391378333e+02 4.885062226e+00
2.401378333e+02 4.773331404e+00
2.411378333e+02 4.626740428e+00
2.421378333e+02 4.445546007e+00
2.431378333e+02 4.233372337e+00
2.441378333e+02 3.994857220e+00
2.451378333e+02 3.734052329e+00
2.461378333e+02 3.454879839e+00
2.469728492e+02 3.210526678e+00
2.476406698e+02 3.010323712e+00
2.482734356e+02 2.819677029e+00
2.489723179e+02 2.611159532e+00
2.497183384e+02 2.394146199e+00
2.505076307e+02 2.174076484e+00
2.512571200e+02 1.976693354e+00
2.522227884e+02 1.742089803e+00
2.532227884e+02 1.524815781e+00
2.542227884e+02 1.334928597e+00
2.552227884e+02 1.171932036e+00
2.562227884e+02 1.033676411e+00
2.572227884e+02 9.174496348e-01
2.582227884e+02 8.203296276e-01
2.592227884e+02 7.390918614e-01
2.602227884e+02 6.704759070e-01
2.612227884e+02 6.107973286e-01
2.622227884e+02 5.563278983e-01
2.632227884e+02 5.043140595e-01
2.642227884e+02 4.529623965e-01
2.652227884e+02 4.012180986e-01
2.662227884e+02 3.485230863e-01
2.672227884e+02 2.945823479e-01
2.682227884e+02 2.397028083e-01
2.692227884e+02 1.848349176e-01
2.702227884e+02 1.307521384e-01
2.712227884e+02 7.881976496e-02
2.722227884e+02 3.214415087e-02
2.730338558e+02 8.517781230e-04
2.737018506e+02 -1.852132273e-02
2.743408863e+02 -2.992210602e-02
2.750442800e+02 -3.269963126e-02
2.757915571e+02 -2.270923047e-02
2.765819736e+02 4.137623365e-03
2.773224851e+02 4.584239023e-02
2.783135353e+02 1.286770667e-01
2.793135353e+02 2.453988629e-01
2.803135353e+02 3.971453512e-01
2.813135353e+02 5.831590409e-01
2.823135353e+02 7.994271955e-01
2.833135353e+02 1.041428111e+00
2.843135353e+02 1.305147733e+00
2.853135353e+02 1.586658674e+00
2.863135353e+02 1.881524890e+00
2.873135353e+02 2.182184619e+00
2.883135353e+02 2.478874716e+00
2.893135353e+02 2.763195805e+00
2.903135353e+02 3.028652002e+00
2.913135353e+02 3.270672577e+00
2.923135353e+02 3.486481591e+00
2.933135353e+02 3.674860351e+00
2.943135353e+02 3.836419552e+00
2.953135353e+02 3.973381708e+00
2.963135353e+02 4.088463751e+00
2.973135353e+02 4.184610664e+00
2.983135353e+02 4.265059036e+00
2.990973594e+02 4.319162479e+00
2.997648224e+02 4.360496334e+00
3.004093165e+02 4.397512665e+00
3.011173077e+02 4.436026031e+00
3.018654118e+02 4.475279946e+00
3.026566010e+02 4.516075956e+00
3.033867758e+02 4.553632316e+00
3.043867758e+02 4.605562450e+00
3.053867758e+02 4.658465640e+00
3.063867758e+02 4.712605294e+00
3.073867758e+02 4.767573921e+00
3.083867758e+02 4.822384452e+00
3.093867758e+02 4.876311809e+00
3.103867758e+02 4.927779646e+00
3.113867758e+02 4.973463662e+00
3.123867758e+02 5.009159922e+00
3.133867758e+02 5.029767245e+00
3.143867758e+02 5.029909172e+00
3.153867758e+02 5.005080783e+00
3.163867758e+02 4.951723840e+00
3.173867758e+02 4.867108585e+00
